listing_id,name,price,latitude,longitude,accommodates,bathrooms,bedrooms,num_beds,rating_accuracy,rating_cleanliness,rating_communication,rating_location,rating_value,review_score_average,price_per_person,amenities_count,Quarter_Or_City
2480744,Sunny room in beautiful home,80,42.37185542,-71.17441371,2,1,1,1,5,5.0,4.5,4.5,5.0,4.8,40.0,10,Watertown
1569713,CHIC BACHELOR APT in WATERTOWN,100,42.37864318,-71.1633559,1,1,1,1,0,,,,,4.694469026548672,100.0,8,Belmont
281264,~ Welcome to Harvard's Dollhouse ~ ,90,42.38086965,-71.09901635,3,1,1,2,4,4.5,5.0,4.5,4.5,4.6,30.0,10,Somerville
1807294,"Brand new, 12min from downtown!",70,42.38616142,-71.080775,2,1,1,1,5,4.5,5.0,4.5,4.5,4.7,35.0,11,Somerville
46534,Victorian elegance and breakfast,65,42.38215338,-71.09375473,2,0,1,1,5,4.5,5.0,4.5,4.5,4.7,32.5,9,Somerville
1317659,Modern 2 BR Inman Square Cambridge,225,42.37546416,-71.09488896,4,1,2,2,5,5.0,5.0,4.5,5.0,4.9,56.25,16,Somerville
697705,Ultra-Modern Apartment near Harvard,150,42.38477319,-71.10101398,5,1,2,2,5,5.0,5.0,4.5,5.0,4.9,30.0,12,Somerville
491332,"Fun, quiet apt in cool Boston area",145,42.33939707,-71.14626041,2,1,1,1,5,5.0,5.0,4.5,4.5,4.8,72.5,13,Brighton
804876,Spacious One BR APT Near Inman Sq,125,42.37396614,-71.09481203,2,1,1,1,5,5.0,5.0,4.5,5.0,4.9,62.5,8,Cambridge
1578203,"Clean Spacious Room, Private Bath",70,42.39507411,-71.10099039,3,1,1,2,5,5.0,5.0,4.5,5.0,4.9,23.33333333333333,16,Somerville
4183282,Sunny Studio Apartment in Davis Sq.,95,42.40061604,-71.12846968,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,47.5,7,Somerville
277354,"Great vibe, comfy & welcoming",95,42.38050042,-71.0948119,2,1,1,2,5,4.5,5.0,5.0,4.5,4.8,47.5,13,Somerville
377775,"Somerville, Davis Square, Tufts ",60,42.40304306,-71.12488369,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,30.0,11,Somerville
1209487,Somerville/Cambridge private room,98,42.37600629,-71.09903819,2,1,1,1,5,5.0,5.0,4.5,5.0,4.9,49.0,9,Somerville
153282,Green living on the Red Line!,65,42.39658321,-71.11966977,2,1,1,1,5,4.5,5.0,5.0,5.0,4.9,32.5,16,Somerville
7903,Cheery & modern home away from home,70,42.38899822,-71.09318255,2,1,1,1,5,5.0,5.0,4.5,4.5,4.8,35.0,15,Somerville
10638,Sunny Library in Victorian Home,49,42.38095092,-71.09450959,2,1,1,1,5,5.0,5.0,4.5,5.0,4.9,24.5,12,Somerville
2606519,Historic charm by Harvard/Tufts/MIT,50,42.39956631,-71.11611604,2,1,1,1,4,4.0,4.5,4.0,4.5,4.3,25.0,8,Somerville
4106372,Full 2 Room -4 bed apt - Boston BU!,210,42.35266233,-71.12624835,7,1,2,4,5,5.0,5.0,4.5,4.0,4.7,30.0,21,Allston
3181719,Double room full bath and parking,115,42.34857517,-71.15871821,3,1,1,1,5,5.0,5.0,5.0,5.0,5.0,38.333333333333336,14,Brighton
22872,Peace & Quiet - & close to Harvard,82,42.39798295,-71.12604945,1,1,1,1,5,5.0,5.0,5.0,4.5,4.9,82.0,11,Somerville
4325979,Garden level studio apartment ,95,42.44022033,-71.09588214,2,1,0,1,5,4.0,5.0,4.5,4.5,4.6,47.5,9,Medford
3629014,The PINK ROOM,79,42.31779833,-71.1040344,2,1,1,2,5,5.0,5.0,5.0,5.0,5.0,39.5,13,Jamaica Plain
917818,Apt near Harvard/MIT in Central Sq,125,42.36645691,-71.1009848,2,1,1,1,4,4.5,5.0,4.5,4.5,4.6,62.5,9,Cambridge
996575,Great Apt. Harvard Sq.and Boston#1A,125,42.39409663,-71.12315562,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,62.5,8,Somerville
57721,Priv Bdrm w/ Bath (see below),72,42.36980419,-71.08502616,1,1,1,1,4,4.5,5.0,4.5,4.5,4.6,72.0,11,Cambridge
3966829,Sunny Base close to MIT,84,42.36693227,-71.09921386,1,1,1,1,5,5.0,5.0,5.0,5.0,5.0,84.0,7,Cambridge
2897592,"1 Bedroom: Central Sq, MIT, Harvard",80,42.3702352,-71.0963166,2,1,1,1,5,5.0,5.0,4.5,5.0,4.9,40.0,11,Cambridge
1619471,Charming Room Near Harvard Square,127,42.37383977,-71.1071902,2,1,1,1,5,5.0,5.0,5.0,5.0,5.0,63.5,15,Cambridge
2580942,Cambridge Getaway @ MIT and Harvard,225,42.36869254,-71.10029346,4,1,2,2,5,5.0,5.0,4.5,4.5,4.8,56.25,15,Cambridge
3861471,Perfect room by MIT/Harvard,99,42.36809652,-71.09921095,2,1,1,1,5,5.0,5.0,4.5,4.5,4.8,49.5,11,Cambridge
1275577,"Outstanding, Clean MIT/Harvard Room",89,42.36566202,-71.09266787,2,1,1,1,4,4.5,4.5,4.5,4.5,4.5,44.5,7,Cambridge
1307195,Harvard/MIT: Convenience & Luxury!,109,42.36391807,-71.10190722,3,1,1,1,5,5.0,5.0,5.0,4.5,4.9,36.333333333333336,13,Cambridge
326170,Two-room suite near Harvard Univ.,110,42.38246564,-71.11403011,3,1,1,1,5,4.5,5.0,5.0,5.0,4.9,36.66666666666666,15,Cambridge
1323588,Lovely Guestroom next to Harvard,73,42.38129481,-71.11846726,1,1,1,1,5,4.5,5.0,5.0,4.5,4.8,73.0,14,Cambridge
1107368,"Large Sunny room, perfect location",85,42.36447102,-71.10772093,1,1,1,1,4,4.5,5.0,4.5,4.5,4.6,85.0,13,Cambridge
2304111,Quiet & cozy steps from Harvard Sq!,84,42.37385847,-71.11092431,2,1,1,1,4,4.5,5.0,5.0,4.5,4.7,42.0,17,Cambridge
